Filename,Length,Spectral Centroids Mean,Spectral Centroids Var,Spectral Rolloff Mean,Spectral Rolloff Var,Spectral Flux Mean,Spectral Flux Var,Zero Crossings Mean,Zero Crossings Var,Energy Mean,Energy Var,Tempo,Beats Mean,Beats Var,Pitches Mean,Pitches Var,Magnitudes Mean,Magnitudes Var,MFCC1_Mean,MFCC1_Var,MFCC2_Mean,MFCC2_Var,MFCC3_Mean,MFCC3_Var,MFCC4_Mean,MFCC4_Var,MFCC5_Mean,MFCC5_Var,MFCC6_Mean,MFCC6_Var,MFCC7_Mean,MFCC7_Var,MFCC8_Mean,MFCC8_Var,MFCC9_Mean,MFCC9_Var,MFCC10_Mean,MFCC10_Var,MFCC11_Mean,MFCC11_Var,MFCC12_Mean,MFCC12_Var,MFCC13_Mean,MFCC13_Var,MFCC14_Mean,MFCC14_Var,MFCC15_Mean,MFCC15_Var,MFCC16_Mean,MFCC16_Var,MFCC17_Mean,MFCC17_Var,MFCC18_Mean,MFCC18_Var,MFCC19_Mean,MFCC19_Var,MFCC20_Mean,MFCC20_Var,Chroma1_Mean,Chroma1_Var,Chroma2_Mean,Chroma2_Var,Chroma3_Mean,Chroma3_Var,Chroma4_Mean,Chroma4_Var,Chroma5_Mean,Chroma5_Var,Chroma6_Mean,Chroma6_Var,Chroma7_Mean,Chroma7_Var,Chroma8_Mean,Chroma8_Var,Chroma9_Mean,Chroma9_Var,Chroma10_Mean,Chroma10_Var,Chroma11_Mean,Chroma11_Var,Chroma12_Mean,Chroma12_Var,label
blues.00000.wav,661794,1784.1226412753101,129745.48441929805,3805.7230301080335,901252.916706492,0.00050582236,2.0918884,0.08304482066898686,0.0007669456545940504,10.904924012874194,105.74151901489228,123.046875,631.0983606557377,131967.3018005912,18.303026,31145.434,0.20686781,5.6531425,-113.59882,2569.3694,121.57067,295.8471,-19.162262,235.58444,42.363937,151.03874,-6.362266,167.99289,18.621931,89.17242,-13.699734,67.60309,15.339802,69.001495,-12.274304,82.21985,10.970945,63.346542,-8.326061,61.76499,8.802088,51.280754,-3.6699407,41.215897,5.7446756,40.517525,-5.162783,49.784233,0.7517066,52.424534,-1.687854,36.535866,-0.40872997,41.603172,-2.302677,55.053654,1.2224671,46.94135,0.3622428,0.10695023,0.36781704,0.081769794,0.43983436,0.099953756,0.2446918,0.044646915,0.24786198,0.06566811,0.33561644,0.0835228,0.36461878,0.07684795,0.43568373,0.119802244,0.29598564,0.06438385,0.31508029,0.07874141,0.40700835,0.11086458,0.3851007,0.0856673,blues
blues.00001.wav,661794,1530.261766989378,375915.5087781222,3550.7136156830047,2978310.9040219653,0.0006024674,3.5482597,0.05603980870552978,0.001447521491359064,6.380189539259512,46.80537781042369,67.99958881578948,608.1515151515151,129200.67401285583,7.6937037,11719.06,0.10325911,2.6319969,-207.52383,7769.1045,123.98514,559.91345,8.947019,572.3363,35.86715,264.7167,2.9095943,279.97607,21.519472,156.36682,-8.556514,200.80203,23.370676,142.56712,-10.103608,166.11464,11.899242,104.35725,-5.558824,105.15637,5.3778763,96.20454,-2.234492,64.87307,4.220704,73.15043,-6.0106864,52.429462,0.9292941,55.337963,-0.72840273,60.231407,0.29687235,48.133217,-0.28243035,51.106014,0.5306444,45.7887,0.4600403,0.14257704,0.35018247,0.08821307,0.32080674,0.09506488,0.21147159,0.05233194,0.20078844,0.043679155,0.3307942,0.09667878,0.3973788,0.079820335,0.56035495,0.13455158,0.38417926,0.08719861,0.2553258,0.054375574,0.28477612,0.077855945,0.3340937,0.072454564,blues
blues.00002.wav,661794,1552.8324814348227,156471.0109039441,3042.4101154654873,784130.8743978116,0.0005277851,4.1202183,0.07629120746326373,0.0010068290788351824,18.491970037584515,161.4349450674753,161.4990234375,638.7272727272727,132633.0554899646,21.890232,35340.35,0.34602693,10.435101,-90.757164,3317.887,140.44087,508.85614,-29.084547,412.06442,31.686693,143.95422,-13.976547,155.66135,25.753752,74.39171,-13.664991,106.84102,11.634442,106.52026,-11.778322,65.48224,9.714756,67.84235,-13.125314,57.67196,5.7912464,64.49476,-8.901966,60.390575,-1.0801603,57.690224,-9.226245,36.51437,2.4483047,40.641678,-7.7248397,47.629646,-1.819024,52.393597,-3.4404576,46.6434,-2.2381277,30.65315,0.27290022,0.04471613,0.19595261,0.032730903,0.31516546,0.073728785,0.40798622,0.07359394,0.5468202,0.1226305,0.32169867,0.05557937,0.304657,0.058482364,0.28840354,0.06320126,0.33415228,0.06114503,0.4018187,0.110964626,0.3843895,0.063252136,0.58850825,0.12460927,blues
blues.00003.wav,661794,1070.1534175250663,184366.00943826744,2184.8790286035382,1493077.8489404472,0.0005986965,2.5072565,0.03330886262567672,0.00042275898709484,14.460701383444848,260.9053012894362,63.02400914634146,588.8928571428571,111995.80994897962,4.727032,4631.807,0.09728049,2.4144273,-199.57513,5508.2666,150.0861,456.30908,5.663404,257.10977,26.855278,158.36113,1.7700713,267.97372,14.232647,126.80743,-4.827845,155.94673,9.286853,81.2703,-0.7561202,92.3018,8.134435,71.381836,-3.200026,110.269356,6.078081,48.214516,-2.4784453,56.776222,-1.0815871,62.243004,-2.874454,51.60982,0.7739941,44.432903,-3.3240693,50.218452,0.6363107,37.325726,-0.61596763,37.257774,-3.405046,31.965254,0.34137163,0.06263444,0.40862367,0.05624508,0.52431905,0.10638915,0.5470129,0.092091426,0.6570751,0.119028635,0.5115236,0.09204023,0.3555536,0.05366433,0.25161317,0.03975406,0.24627058,0.04625721,0.31511122,0.08628569,0.31657925,0.07895539,0.38319886,0.113742545,blues
blues.00004.wav,661794,1835.1285127725687,343249.4957463238,3579.9574708164155,1572336.2989541132,0.00021154998,4.5800023,0.10146053871809745,0.0019541247020998685,5.884487113600816,49.793763915893436,135.99917763157896,640.1363636363636,136306.99655647384,27.231428,52097.62,0.19135495,3.6365416,-160.35417,5199.1035,126.20948,853.27124,-35.581394,334.03235,22.139256,193.75323,-32.47355,336.4254,10.850701,134.86504,-23.35007,93.29354,0.4932492,124.73352,-11.796538,129.97537,1.2035191,99.71714,-13.084959,80.24316,-2.8104997,86.4365,-6.9344707,89.548325,-7.5538754,70.91569,-9.167669,75.75422,-4.515863,85.9952,-5.451786,75.27674,-0.91595227,53.633236,-4.408018,62.882492,-11.704385,55.190254,0.1926048,0.03813603,0.31726655,0.103559606,0.39202198,0.09741649,0.25582698,0.07536281,0.19266349,0.03210751,0.530221,0.13133422,0.2537794,0.04300382,0.13912146,0.031364277,0.27642432,0.092057504,0.32432655,0.054561175,0.5551238,0.12661977,0.27293074,0.04770654,blues
blues.00005.wav,661794,1832.0115969728529,1030483.8309546004,3481.4676306917054,3274386.1962247384,0.0018393009,5.18277,0.09404153373936582,0.006233195614802252,8.09600326699086,175.28990118916835,69.83741554054055,636.0882352941177,136649.080449827,17.859121,35880.453,0.17772661,4.86762,-177.80174,7307.454,118.20316,3195.2053,-17.570627,654.108,30.760923,485.68988,-21.74255,433.27667,11.91926,266.4076,-20.734297,169.70601,3.1852863,133.70337,-8.580815,172.22575,-0.9328867,100.121,-11.772243,76.55475,-2.4087648,78.80263,-9.348446,80.10772,-9.9426365,47.534428,-3.9021833,60.0207,-5.5745625,72.57674,-1.8393141,68.66611,-2.7893167,42.470528,-3.047805,39.803387,-8.109732,46.282936,0.2383226,0.08360197,0.3002374,0.045946997,0.6171865,0.14672934,0.23574117,0.027091702,0.1239871,0.01884679,0.2437683,0.07653757,0.27965155,0.06597779,0.4112927,0.113152646,0.24398585,0.055331197,0.28553343,0.079246596,0.28433672,0.08103721,0.36621904,0.093731344,blues
blues.00006.wav,661794,1459.4696908114731,438024.99880254443,2795.910729498985,1621507.809656879,0.00021023721,6.1008377,0.07305223740815932,0.0019091706678011008,15.923427414773151,511.7072945588752,71.77734375,641.4166666666666,136261.9652777778,16.32667,32092.527,0.23367092,10.449227,-190.06882,9653.348,130.27023,1933.7037,-36.362114,1307.0305,33.036213,480.1932,11.093891,1082.9683,-0.5918818,280.1115,-20.890266,151.6834,0.27844247,102.85332,-6.496385,131.09853,-5.5127354,153.40236,-7.847404,87.50639,-3.1243007,64.21006,-6.6028214,79.14685,-9.949999,63.038452,-6.5426884,86.344986,-10.0722275,83.254555,-10.918623,56.950497,-6.9652433,38.267097,-3.4394312,48.163647,-6.484499,70.21345,0.42551336,0.13377605,0.22324328,0.06114327,0.13134763,0.035159733,0.15259734,0.047761377,0.24195808,0.047014873,0.49116936,0.14840156,0.24550849,0.05963341,0.16911279,0.03747184,0.28835577,0.08771962,0.46184453,0.124780975,0.3592757,0.11088475,0.3071861,0.07322713,blues
blues.00007.wav,661794,1451.8594137957502,449601.6407278991,2955.3197165929523,1629557.4144231493,0.00060685433,4.138826,0.061442246108855375,0.0018488162723341102,12.6232128140161,267.7209253309023,92.28515625,656.6222222222223,129447.52395061728,14.90276,31663.832,0.20402844,7.868815,-179.3723,6573.5034,136.44833,1479.0457,-26.662588,591.20874,39.96545,353.4062,5.3108945,650.08966,10.919133,136.28798,-20.559534,163.69316,8.503361,151.28441,-11.349764,171.91977,-3.4705548,178.22743,-8.415842,147.56088,-6.957211,83.71853,-3.5460422,93.2653,-8.051759,57.423862,-8.964917,82.25947,-8.427482,70.46944,-10.5642805,52.018356,-10.785658,60.507183,-4.6954694,65.581085,-8.631641,56.38694,0.259357,0.06246472,0.26412153,0.08927811,0.32535806,0.09386613,0.21773893,0.07137223,0.21527731,0.06534606,0.29576188,0.08408144,0.19005172,0.045994613,0.1807494,0.05741988,0.2643409,0.07867081,0.39047348,0.0727532,0.6486375,0.12303473,0.43659103,0.077093914,blues
blues.00008.wav,661794,1719.4633657271252,163308.4331688299,3782.441190998405,1262984.5682501604,0.0018837177,2.3063695,0.06402488761600927,0.0007314817438538322,11.995974992231652,68.24339971509926,83.35433467741936,619.5853658536586,132610.77929803685,10.882873,17997.576,0.1640674,4.1004944,-121.38979,2619.6743,122.49833,414.5375,-14.734729,341.22403,46.12214,193.91733,-8.179258,177.07607,20.172466,106.9469,-19.171894,57.659283,23.036837,77.1547,-11.832729,42.568737,21.154655,58.8517,-6.7227974,48.918488,6.989506,56.535206,-12.730549,61.94805,5.0585384,50.547115,-5.1858063,33.026344,-1.4536041,50.578175,-7.042629,28.908443,2.694213,36.896122,3.4095309,33.671597,-2.7137442,36.34232,0.3196752,0.052892063,0.304487,0.053794123,0.36661544,0.08355932,0.42213288,0.07555425,0.52381116,0.12318703,0.4511191,0.08998869,0.4934428,0.107459284,0.35275283,0.06599789,0.3801384,0.070133604,0.46170583,0.094374016,0.3663595,0.06874422,0.46471474,0.09766257,blues
blues.00009.wav,661794,1817.2305900912734,298141.4244085744,3943.8319655416185,1366784.3467715923,0.00046179234,1.3114802,0.07917482356921887,0.0013776590528174816,6.036627200200742,88.96868157208104,80.74951171875,615.75,133644.4875,12.948547,25610.12,0.121674344,4.066713,-213.26424,6132.9727,115.16476,798.2638,-11.698171,669.0846,39.015358,350.93393,-20.34833,531.99756,13.082702,278.2447,-9.182701,126.45182,9.017152,67.964165,-14.10431,110.09561,4.2712545,92.602684,-6.0507803,84.85938,3.7858355,104.41364,0.22263548,76.34565,-5.1068816,85.42631,-0.41015333,103.98576,-1.1793449,59.323406,-1.914708,58.461426,-2.293661,83.12304,2.8842604,77.04225,-4.2338796,91.44654,0.24824716,0.08754749,0.27315462,0.085732296,0.48851237,0.15300879,0.26800504,0.059118804,0.17971845,0.044481568,0.26772523,0.10779224,0.22258566,0.047405396,0.4153511,0.14531055,0.2726887,0.07008151,0.1811754,0.047144797,0.22990076,0.094139315,0.24054772,0.07601592,blues
